,a_MLE,b_MLE,a_std,b_std,mu_MOM,sigma_MOM,Inference_grade,Score,Mean,standard deviation,mu_ML,sigma_ML,a,b
147,5.029093603993862,52.946751382316755,0.12412803271472357,1.3243339962707812,377.894418316833,288.42276342667753,1.0,0.0,267.8978,119.44972510642292,266.27416872906235,118.73648222526523,5.03,53.260000000000005
148,4.418148518346429,71.61559633726081,0.12501956018376403,2.2055827606773994,469.2306601267643,314.20128895199434,1.0,0.0,314.34054999999995,147.28421964182039,316.40834084796484,150.53163128030693,4.555,69.00999999999999
149,4.193062800496383,626.8814283596768,0.07347275567113994,12.6898505121527,3397.054141834565,2056.9975735965,1.0,0.0,2632.4361,1282.209671580276,2628.553197576999,1283.6631890867889,4.215,624.54
150,3.667753481516712,14.676228509129224,0.068136671594011,0.2873255547253958,74.33571191161343,61.227839521960334,1.0,0.0,53.8692,27.967495132742936,53.82878820989354,28.107002617460275,3.71,14.52
151,5.123140107764048,28.81271969113439,0.09331631091270236,0.6133846268000216,189.93880847097782,96.45690812524175,1.0,0.0,146.47875,65.34413181380559,147.61159986341355,65.21573161457613,5.025,29.15
152,4.215144124351566,144.6655484317859,0.07496983896295373,2.9989505200183344,791.6765924332194,466.24686274950955,1.0,0.0,609.70455,301.29538736844285,609.7861364683392,297.010178038215,4.095,148.89000000000001
153,2.7244508216518124,8.859098344546092,0.055117190424110805,0.218897200024657,33.127874757592345,21.193910980019027,1.0,0.022340425531914895,23.9666,14.694865293700381,24.136177763892814,14.622748458199403,2.66,9.01
154,9.99206147476466,101.24060113994764,0.4433728870216099,4.040265354182181,1233.3200905014555,959.2795650352691,1.0,0.0,1002.85255,334.37707875914583,1011.6023103324859,320.0237897604188,8.995,111.49000000000001
155,9.288112702106803,72.82135455463603,0.19228288257428292,1.7197615195661655,827.7497245301488,244.74662256706844,1.0,0.0,684.7626500000001,224.60290386702488,676.372948223538,221.9333104194833,9.295,73.67000000000002
159,4.144293055033658,60.50875900224185,0.0889154808468873,1.3472394519764999,352.6615964129194,278.818481291755,1.0,0.0,249.6552,121.5302498639742,250.76602970169623,123.1809289507469,4.22,59.160000000000004
160,5.1594872035983235,110.93454783569709,0.10780797274577263,2.814550280860256,757.6317204901866,332.76129481373283,1.0,0.0,573.2117,252.22021026476045,572.3653799952452,251.98232998879007,5.165,110.97999999999999
161,8.435010200873718,21.751866325780064,0.1771091693858956,0.4410538942896743,213.09733737051903,111.68185000921025,1.0,0.0,183.47039999999996,63.41664740428967,183.47721434599634,63.17413901495301,8.37,21.919999999999998
163,10.016019840625491,68.59958182216545,0.21141081638041082,1.6207600856124214,831.4152068903946,236.96716818301246,1.0,0.0,693.46435,219.67745472965586,687.0947725894209,217.1046155009841,9.965,69.59
165,7.236900343780792,524.7431628185536,0.16598445630683006,11.151952434703135,4629.996789381567,3460.9071426145774,1.0,0.0,3804.9318500000004,1418.5070004182217,3797.5139753982107,1411.6371680775894,7.195,528.83
166,6.565876189169706,19.13333454386753,0.2083861540854558,0.7658579420904718,175.4733219429715,55.85511055890517,1.0,0.0,128.35949999999997,51.44679669328305,125.62710570099803,49.02719083483168,6.225,20.619999999999997
168,11.049924271062592,89.0748634083113,0.5121652484782966,3.646224189720635,1148.8176782117057,870.3081863001236,1.0,0.0,986.2125000000001,296.6807469739147,984.2704951170842,296.097551339732,11.05,89.25
169,3.8132121205221794,18.896477893484004,0.09098559136250212,0.49603235187386235,105.63483871691645,73.9734761180114,1.0,0.0,71.38965000000002,38.07786484954219,72.05627853861263,36.8999982993444,3.515,20.310000000000002
